report_id,created_at,area,category,priority,status,acknowledged_at,assigned_at,closed_at,reopened,rating,source_ref
R-01-1-1,2026-09-01T08:00:00Z,البلدة القديمة,المعلومة والهوية,منخفض,مغلق,2026-09-01T08:18:00Z,2026-09-01T08:35:00Z,2026-09-01T18:00:00Z,1,,synthetic-pilot-v1: deterministic fixture
R-01-1-2,2026-09-01T11:00:00Z,البلدة القديمة,الوصول والتنقل,متوسط,مغلق,2026-09-01T11:23:00Z,2026-09-01T11:35:00Z,2026-09-02T00:00:00Z,0,4,synthetic-pilot-v1: deterministic fixture
R-01-2-1,2026-09-01T09:00:00Z,الشارع الرئيسي,الوصول والتنقل,منخفض,مغلق,2026-09-01T09:25:00Z,2026-09-01T09:45:00Z,2026-09-02T00:00:00Z,0,3,synthetic-pilot-v1: deterministic fixture
R-01-2-2,2026-09-01T12:00:00Z,الشارع الرئيسي,الوصول والتنقل,متوسط,مغلق,2026-09-01T12:30:00Z,2026-09-01T12:45:00Z,2026-09-02T06:00:00Z,0,4,synthetic-pilot-v1: deterministic fixture
R-01-3-1,2026-09-01T10:00:00Z,الكنيسة,الوصول والتنقل,منخفض,مغلق,2026-09-01T10:32:00Z,2026-09-01T10:55:00Z,2026-09-02T06:00:00Z,0,3,synthetic-pilot-v1: deterministic fixture
R-01-3-2,2026-09-01T13:00:00Z,الكنيسة,المعلومة والهوية,متوسط,مغلق,2026-09-01T13:37:00Z,2026-09-01T13:55:00Z,2026-09-02T12:00:00Z,0,4,synthetic-pilot-v1: deterministic fixture
R-01-4-1,2026-09-01T11:00:00Z,المدخل الشرقي,المعلومة والهوية,منخفض,مغلق,2026-09-01T11:39:00Z,2026-09-01T12:05:00Z,2026-09-02T12:00:00Z,0,3,synthetic-pilot-v1: deterministic fixture
R-01-4-2,2026-09-01T14:00:00Z,المدخل الشرقي,الوصول والتنقل,متوسط,مغلق,2026-09-01T14:44:00Z,2026-09-01T15:05:00Z,2026-09-02T18:00:00Z,0,4,synthetic-pilot-v1: deterministic fixture
R-02-1-1,2026-09-02T08:00:00Z,البلدة القديمة,الوصول والتنقل,منخفض,مغلق,2026-09-02T08:18:00Z,2026-09-02T08:35:00Z,2026-09-02T18:00:00Z,0,4,synthetic-pilot-v1: deterministic fixture
R-02-1-2,2026-09-02T11:00:00Z,البلدة القديمة,الوصول والتنقل,متوسط,مغلق,2026-09-02T11:23:00Z,2026-09-02T11:35:00Z,2026-09-03T00:00:00Z,0,5,synthetic-pilot-v1: deterministic fixture
R-02-2-1,2026-09-02T09:00:00Z,الشارع الرئيسي,الوصول والتنقل,منخفض,مغلق,2026-09-02T09:25:00Z,2026-09-02T09:45:00Z,2026-09-03T00:00:00Z,0,4,synthetic-pilot-v1: deterministic fixture
R-02-2-2,2026-09-02T12:00:00Z,الشارع الرئيسي,المعلومة والهوية,متوسط,مغلق,2026-09-02T12:30:00Z,2026-09-02T12:45:00Z,2026-09-03T06:00:00Z,0,5,synthetic-pilot-v1: deterministic fixture
R-02-3-1,2026-09-02T10:00:00Z,الكنيسة,المعلومة والهوية,منخفض,مغلق,2026-09-02T10:32:00Z,2026-09-02T10:55:00Z,2026-09-03T06:00:00Z,0,4,synthetic-pilot-v1: deterministic fixture
R-02-3-2,2026-09-02T13:00:00Z,الكنيسة,الوصول والتنقل,متوسط,مغلق,2026-09-02T13:37:00Z,2026-09-02T13:55:00Z,2026-09-03T12:00:00Z,0,5,synthetic-pilot-v1: deterministic fixture
R-02-4-1,2026-09-02T11:00:00Z,المدخل الشرقي,الوصول والتنقل,منخفض,مغلق,2026-09-02T11:39:00Z,2026-09-02T12:05:00Z,2026-09-03T12:00:00Z,0,4,synthetic-pilot-v1: deterministic fixture
R-02-4-2,2026-09-02T14:00:00Z,المدخل الشرقي,الوصول والتنقل,متوسط,مغلق,2026-09-02T14:44:00Z,2026-09-02T15:05:00Z,2026-09-03T18:00:00Z,0,,synthetic-pilot-v1: deterministic fixture
R-03-1-1,2026-09-03T08:00:00Z,البلدة القديمة,الوصول والتنقل,منخفض,مغلق,2026-09-03T08:18:00Z,2026-09-03T08:35:00Z,2026-09-03T18:00:00Z,0,5,synthetic-pilot-v1: deterministic fixture
R-03-1-2,2026-09-03T11:00:00Z,البلدة القديمة,المعلومة والهوية,متوسط,مغلق,2026-09-03T11:23:00Z,2026-09-03T11:35:00Z,2026-09-04T00:00:00Z,0,3,synthetic-pilot-v1: deterministic fixture
R-03-2-1,2026-09-03T09:00:00Z,الشارع الرئيسي,المعلومة والهوية,منخفض,مغلق,2026-09-03T09:25:00Z,2026-09-03T09:45:00Z,2026-09-04T00:00:00Z,0,5,synthetic-pilot-v1: deterministic fixture
R-03-2-2,2026-09-03T12:00:00Z,الشارع الرئيسي,الوصول والتنقل,متوسط,مغلق,2026-09-03T12:30:00Z,2026-09-03T12:45:00Z,2026-09-04T06:00:00Z,0,3,synthetic-pilot-v1: deterministic fixture
R-03-3-1,2026-09-03T10:00:00Z,الكنيسة,الوصول والتنقل,منخفض,مغلق,2026-09-03T10:32:00Z,2026-09-03T10:55:00Z,2026-09-04T06:00:00Z,0,5,synthetic-pilot-v1: deterministic fixture
R-03-3-2,2026-09-03T13:00:00Z,الكنيسة,الوصول والتنقل,متوسط,مغلق,2026-09-03T13:37:00Z,2026-09-03T13:55:00Z,2026-09-04T12:00:00Z,0,,synthetic-pilot-v1: deterministic fixture
R-03-4-1,2026-09-03T11:00:00Z,المدخل الشرقي,الوصول والتنقل,منخفض,مغلق,2026-09-03T11:39:00Z,2026-09-03T12:05:00Z,2026-09-04T12:00:00Z,0,,synthetic-pilot-v1: deterministic fixture
